Frame,Predicted Offset,Forward Speed,Turn Speed,
203,0.26929548382759094,0.1,-0.134647742,[ 0.1        -0.13464774]
204,0.2593638300895691,0.1,-0.129681915,[ 0.1        -0.12968192]
205,0.24229535460472107,0.1,-0.121147677,[ 0.1        -0.12114768]
206,0.22226184606552124,0.1,-0.111130923,[ 0.1        -0.11113092]
207,0.2105451226234436,0.1,-0.105272561,[ 0.1        -0.10527256]
208,0.20266753435134888,0.1,-0.101333767,[ 0.1        -0.10133377]
209,0.1868995577096939,0.1,-0.093449779,[ 0.1        -0.09344978]
210,0.18179887533187866,0.1,-0.090899438,[ 0.1        -0.09089944]
211,0.17455795407295227,0.1,-0.087278977,[ 0.1        -0.08727898]
212,0.16917377710342407,0.1,-0.084586889,[ 0.1        -0.08458689]
213,0.15541307628154755,0.1,-0.077706538,[ 0.1        -0.07770654]
214,0.14661920070648193,0.1,-0.0733096,[ 0.1       -0.0733096]
215,0.14661920070648193,0.1,-0.0733096,[ 0.1       -0.0733096]
216,0.13276243209838867,0.1,-0.066381216,[ 0.1        -0.06638122]
217,0.12462332844734192,0.1,-0.062311664,[ 0.1        -0.06231166]
218,0.12453065812587738,0.1,-0.062265329,[ 0.1        -0.06226533]
219,0.12453065812587738,0.1,-0.062265329,[ 0.1        -0.06226533]
220,0.11756861209869385,0.1,-0.058784306,[ 0.1        -0.05878431]
221,0.11756861209869385,0.1,-0.058784306,[ 0.1        -0.05878431]
222,0.10989327728748322,0.1,-0.054946639,[ 0.1        -0.05494664]
223,0.10989327728748322,0.1,-0.054946639,[ 0.1        -0.05494664]
224,0.10980972647666931,0.1,-0.054904863,[ 0.1        -0.05490486]
225,0.1098170280456543,0.1,-0.054908514,[ 0.1        -0.05490851]
226,0.10923376679420471,0.1,-0.054616883,[ 0.1        -0.05461688]
227,0.11293092370033264,0.1,-0.056465462,[ 0.1        -0.05646546]
228,0.11518219113349915,0.1,-0.057591096,[ 0.1       -0.0575911]
229,0.1162918210029602,0.1,-0.058145911,[ 0.1        -0.05814591]
230,0.12399521470069885,0.1,-0.061997607,[ 0.1        -0.06199761]
231,0.12447524070739746,0.1,-0.06223762,[ 0.1        -0.06223762]
232,0.1256183683872223,0.1,-0.062809184,[ 0.1        -0.06280918]
233,0.1344066560268402,0.1,-0.067203328,[ 0.1        -0.06720333]
234,0.13976310193538666,0.1,-0.069881551,[ 0.1        -0.06988155]
235,0.14240962266921997,0.1,-0.071204811,[ 0.1        -0.07120481]
236,0.14240962266921997,0.1,-0.071204811,[ 0.1        -0.07120481]
237,0.14867858588695526,0.1,-0.074339293,[ 0.1        -0.07433929]
238,0.14867858588695526,0.1,-0.074339293,[ 0.1        -0.07433929]
239,0.15112575888633728,0.1,-0.075562879,[ 0.1        -0.07556288]
240,0.15437784790992737,0.1,-0.077188924,[ 0.1        -0.07718892]
