Frame,Predicted Offset,Forward Speed,Turn Speed,
173,-0.472263813,0.04,0.23613190650939941,[0.04       0.23613191]
174,-0.472263813,0.04,0.23613190650939941,[0.04       0.23613191]
175,-0.47052592,0.04,0.23526296019554138,[0.04       0.23526296]
176,-0.470919549,0.04,0.23545977473258972,[0.04       0.23545977]
177,-0.470161498,0.04,0.235080748796463,[0.04       0.23508075]
178,-0.469886541,0.04,0.23494327068328857,[0.04       0.23494327]
179,-0.469775796,0.04,0.23488789796829224,[0.04      0.2348879]
180,-0.469775796,0.04,0.23488789796829224,[0.04      0.2348879]
181,-0.470366657,0.04,0.23518332839012146,[0.04       0.23518333]
182,-0.470673501,0.04,0.23533675074577332,[0.04       0.23533675]
183,-0.470673501,0.04,0.23533675074577332,[0.04       0.23533675]
184,-0.471878767,0.04,0.2359393835067749,[0.04       0.23593938]
185,-0.472858071,0.04,0.23642903566360474,[0.04       0.23642904]
186,-0.474475265,0.04,0.23723763227462769,[0.04       0.23723763]
187,-0.474475265,0.04,0.23723763227462769,[0.04       0.23723763]
188,-0.476231635,0.04,0.2381158173084259,[0.04       0.23811582]
189,-0.477804422,0.04,0.23890221118927002,[0.04       0.23890221]
190,-0.478414595,0.04,0.23920729756355286,[0.04      0.2392073]
191,-0.480646193,0.04,0.24032309651374817,[0.04      0.2403231]
192,-0.480646193,0.04,0.24032309651374817,[0.04      0.2403231]
193,-0.483192146,0.04,0.2415960729122162,[0.04       0.24159607]
194,-0.485242426,0.04,0.24262121319770813,[0.04       0.24262121]
195,-0.485242426,0.04,0.24262121319770813,[0.04       0.24262121]
196,-0.489467144,0.04,0.24473357200622559,[0.04       0.24473357]
197,-0.49113673,0.04,0.24556836485862732,[0.04       0.24556836]
198,-0.49113673,0.04,0.24556836485862732,[0.04       0.24556836]
199,-0.496128201,0.04,0.2480641007423401,[0.04      0.2480641]
200,-0.496128201,0.04,0.2480641007423401,[0.04      0.2480641]
201,-0.498695374,0.04,0.24934768676757812,[0.04       0.24934769]
202,-0.505031765,0.04,0.25251588225364685,[0.04       0.25251588]
203,-0.508791745,0.04,0.25439587235450745,[0.04       0.25439587]
204,-0.512139022,0.04,0.25606951117515564,[0.04       0.25606951]
205,-0.512139022,0.04,0.25606951117515564,[0.04       0.25606951]
206,-0.520628691,0.04,0.26031434535980225,[0.04       0.26031435]
207,-0.520628691,0.04,0.26031434535980225,[0.04       0.26031435]
208,-0.528149128,0.04,0.26407456398010254,[0.04       0.26407456]
209,-0.532243967,0.04,0.2661219835281372,[0.04       0.26612198]
210,-0.532243967,0.04,0.2661219835281372,[0.04       0.26612198]
211,-0.540408611,0.04,0.2702043056488037,[0.04       0.27020431]
212,-0.544754088,0.04,0.27237704396247864,[0.04       0.27237704]
213,-0.544754088,0.04,0.27237704396247864,[0.04       0.27237704]
214,-0.55273515,0.04,0.27636757493019104,[0.04       0.27636757]
215,-0.556097686,0.04,0.2780488431453705,[0.04       0.27804884]
216,-0.556097686,0.04,0.2780488431453705,[0.04       0.27804884]
217,-0.562801421,0.04,0.2814007103443146,[0.04       0.28140071]
218,-0.566524744,0.04,0.28326237201690674,[0.04       0.28326237]
219,-0.566524744,0.04,0.28326237201690674,[0.04       0.28326237]
220,-0.571230412,0.04,0.2856152057647705,[0.04       0.28561521]
221,-0.573537469,0.04,0.28676873445510864,[0.04       0.28676873]
222,-0.573537469,0.04,0.28676873445510864,[0.04       0.28676873]
223,-0.577827811,0.04,0.28891390562057495,[0.04       0.28891391]
224,-0.577754676,0.04,0.28887733817100525,[0.04       0.28887734]
225,-0.577233911,0.04,0.28861695528030396,[0.04       0.28861696]
226,-0.577233911,0.04,0.28861695528030396,[0.04       0.28861696]
227,-0.571949482,0.04,0.28597474098205566,[0.04       0.28597474]
228,-0.569403172,0.04,0.2847015857696533,[0.04       0.28470159]
229,-0.566780984,0.04,0.28339049220085144,[0.04       0.28339049]
230,-0.566780984,0.04,0.28339049220085144,[0.04       0.28339049]
231,-0.558575451,0.04,0.279287725687027,[0.04       0.27928773]
232,-0.555002272,0.04,0.2775011360645294,[0.04       0.27750114]
233,-0.552326381,0.04,0.2761631906032562,[0.04       0.27616319]
234,-0.552326381,0.04,0.2761631906032562,[0.04       0.27616319]
235,-0.533927262,0.04,0.2669636309146881,[0.04       0.26696363]
236,-0.530084908,0.04,0.2650424540042877,[0.04       0.26504245]
237,-0.530084908,0.04,0.2650424540042877,[0.04       0.26504245]
238,-0.514013231,0.04,0.25700661540031433,[0.04       0.25700662]
239,-0.500566661,0.04,0.2502833306789398,[0.04       0.25028333]
240,-0.500566661,0.04,0.2502833306789398,[0.04       0.25028333]
241,-0.489334166,0.04,0.24466708302497864,[0.04       0.24466708]
242,-0.486695647,0.04,0.24334782361984253,[0.04       0.24334782]
243,-0.486695647,0.04,0.24334782361984253,[0.04       0.24334782]
244,-0.473381877,0.04,0.2366909384727478,[0.04       0.23669094]
245,-0.465552688,0.04,0.23277634382247925,[0.04       0.23277634]
246,-0.459657967,0.04,0.22982898354530334,[0.04       0.22982898]
247,-0.459657967,0.04,0.22982898354530334,[0.04       0.22982898]
248,-0.451089561,0.04,0.2255447804927826,[0.04       0.22554478]
249,-0.446744561,0.04,0.22337228059768677,[0.04       0.22337228]
250,-0.446744561,0.04,0.22337228059768677,[0.04       0.22337228]
251,-0.437376618,0.04,0.21868830919265747,[0.04       0.21868831]
252,-0.434026182,0.04,0.21701309084892273,[0.04       0.21701309]
253,-0.428028762,0.04,0.21401438117027283,[0.04       0.21401438]
254,-0.42151618,0.04,0.21075809001922607,[0.04       0.21075809]
255,-0.42151618,0.04,0.21075809001922607,[0.04       0.21075809]
256,-0.413741708,0.04,0.20687085390090942,[0.04       0.20687085]
257,-0.409047842,0.04,0.20452392101287842,[0.04       0.20452392]
258,-0.409047842,0.04,0.20452392101287842,[0.04       0.20452392]
259,-0.398547471,0.04,0.1992737352848053,[0.04       0.19927374]
260,-0.395359278,0.04,0.19767963886260986,[0.04       0.19767964]
261,-0.391198814,0.04,0.19559940695762634,[0.04       0.19559941]
262,-0.391198814,0.04,0.19559940695762634,[0.04       0.19559941]
263,-0.381395161,0.04,0.190697580575943,[0.04       0.19069758]
264,-0.377572119,0.04,0.18878605961799622,[0.04       0.18878606]
265,-0.373298883,0.04,0.18664944171905518,[0.04       0.18664944]
266,-0.373298883,0.04,0.18664944171905518,[0.04       0.18664944]
267,-0.358261645,0.04,0.17913082242012024,[0.04       0.17913082]
268,-0.358261645,0.04,0.17913082242012024,[0.04       0.17913082]
269,-0.35155195,0.04,0.17577597498893738,[0.04       0.17577597]
270,-0.346922636,0.04,0.17346131801605225,[0.04       0.17346132]
271,-0.346922636,0.04,0.17346131801605225,[0.04       0.17346132]
272,-0.337214291,0.04,0.16860714554786682,[0.04       0.16860715]
273,-0.332676113,0.04,0.16633805632591248,[0.04       0.16633806]
274,-0.329226613,0.04,0.16461330652236938,[0.04       0.16461331]
275,-0.329226613,0.04,0.16461330652236938,[0.04       0.16461331]
276,-0.316874564,0.04,0.15843728184700012,[0.04       0.15843728]
277,-0.311248839,0.04,0.1556244194507599,[0.04       0.15562442]
278,-0.311248839,0.04,0.1556244194507599,[0.04       0.15562442]
279,-0.304281831,0.04,0.15214091539382935,[0.04       0.15214092]
280,-0.298471272,0.04,0.14923563599586487,[0.04       0.14923564]
281,-0.292210221,0.04,0.1461051106452942,[0.04       0.14610511]
282,-0.292210221,0.04,0.1461051106452942,[0.04       0.14610511]
283,-0.284831882,0.04,0.14241594076156616,[0.04       0.14241594]
284,-0.279246449,0.04,0.13962322473526,[0.04       0.13962322]
285,-0.279246449,0.04,0.13962322473526,[0.04       0.13962322]
286,-0.267406046,0.04,0.13370302319526672,[0.04       0.13370302]
287,-0.26513499,0.04,0.13256749510765076,[0.04      0.1325675]
288,-0.26513499,0.04,0.13256749510765076,[0.04      0.1325675]
289,-0.255386531,0.04,0.1276932656764984,[0.04       0.12769327]
290,-0.250534892,0.04,0.12526744604110718,[0.04       0.12526745]
291,-0.250534892,0.04,0.12526744604110718,[0.04       0.12526745]
292,-0.241165936,0.04,0.12058296799659729,[0.04       0.12058297]
293,-0.233905613,0.04,0.1169528067111969,[0.04       0.11695281]
294,-0.233905613,0.04,0.1169528067111969,[0.04       0.11695281]
295,-0.226709187,0.04,0.11335459351539612,[0.04       0.11335459]
296,-0.222334832,0.04,0.11116741597652435,[0.04       0.11116742]
297,-0.216962039,0.04,0.1084810197353363,[0.04       0.10848102]
298,-0.212477863,0.04,0.10623893141746521,[0.04       0.10623893]
299,-0.212477863,0.04,0.10623893141746521,[0.04       0.10623893]
300,-0.199503183,0.04,0.09975159168243408,[0.04       0.09975159]
301,-0.191518217,0.04,0.09575910866260529,[0.04       0.09575911]
302,-0.185213953,0.04,0.09260697662830353,[0.04       0.09260698]
303,-0.180095583,0.04,0.09004779160022736,[0.04       0.09004779]
304,-0.180095583,0.04,0.09004779160022736,[0.04       0.09004779]
